SM.ratio	short	BM online	LWL description	BMSat description
0.99	1319	True	"Five Germans seated at a round table, gormandize savagely on cabbage and sausages. Three are grossly fat and coarse-featured and plebeian; one of these *BRACKETED* has tucked the table-cloth round his neck *BRACKETED* . A lean military officer sits in back view plying spoon and fork with elbows raised; a lean dog laps from his plate, one paw on his knee the other on the table. Cocked hat and sword are on the ground beside him. A thin and elderly man of more polished appearance puts down his head to the mound of greenery on his plate, which he shovels up with spoon and fork; his knife lies on the table-cloth. His hat and gold-headed cane are under his stool. A fat cook enters *BRACKETED* carrying a large steaming dish piled high with sauerkraut and sausages. On the table are a *TRANSCRIBED* bottle and fragments from over-full plates. On the wall are a map of *TRANSCRIBED* , showing the *TRANSCRIBED* ; an oval bust portrait of *TRANSCRIBED* *BRACKETED* , with a gross profile resembling that given by Gillray to the Duke of Clarence; a picture of a row of pigs whose heads emerge from sties to feed in a trough. On the floor are large tankards, a broken pipe, a pile of used plates which a cat is licking, a *TRANSCRIBED* Tankards and plates are inscribed *TRANSCRIBED* " --British Museum online catalogue.	Five Germans seated at a round table, gormandize savagely on cabbage and sausages. Three are grossly fat and coarse-featured and plebeian; one of these *BRACKETED* has tucked the table-cloth round his neck *BRACKETED* . A lean military officer sits in back view plying spoon and fork with elbows raised; a lean dog laps from his plate, one paw on his knee the other on the table. Cocked hat and sword are on the ground beside him. A thin and elderly man of more polished appearance puts down his head to the mound of greenery on his plate, which he shovels up with spoon and fork; his knife lies on the table-cloth. His hat and gold-headed cane are under his stool. A fat cook enters *BRACKETED* carrying a large steaming dish piled high with sauerkraut and sausages. On the table are a *TRANSCRIBED* bottle and fragments from over-full plates. On the wall are a map of *TRANSCRIBED* , showing the *TRANSCRIBED* ; an oval bust portrait of *TRANSCRIBED* *BRACKETED* , with a gross profile resembling that given by Gillray to the Duke of Clarence; a picture of a row of pigs whose heads emerge from sties to feed in a trough. On the floor are large tankards, a broken pipe, a pile of used plates which a cat is licking, a *TRANSCRIBED* Tankards and plates are inscribed *TRANSCRIBED* .
0.89	529	True	"A family conclave. A pretty young woman sits holding an infant in long clothes with curiously adult features; she turns towards an elderly man beside her *BRACKETED* ; her sailor husband, who has risen from his chair, stares warily at his father. The old man, who wears a seaman's short jacket with knee-breeches, scowls towards his son, saying, *TRANSCRIBED* A dog sits beside him, much interested. The woman says: *TRANSCRIBED* The husband: *TRANSCRIBED* ." - -British Museum online catalogue, description of an earlier state.	A family conclave. A pretty young woman sits holding an infant in long clothes with curiously adult features; she turns towards an elderly man beside her *BRACKETED* ; her sailor husband, who has risen from his chair, stares warily at his father. The old man, who wears a seaman's short jacket with knee-breeches, scowls towards his son, saying, *TRANSCRIBED* A dog sits beside him, much interested. The woman says: *TRANSCRIBED* The husband: *TRANSCRIBED* Plate numbered 275. 15 July. Hand-coloured etching.
0.92	437	True	"Eight elderly topers with pipes and glasses surround a small oblong table, on which are punch-bowl, wine-glasses, tobacco, &c. All are much caricatured; some sing, a parson sleeps, a dog howls. The room is lit by a chandelier; a bracket-clock points to 3.40, on it is carved a Bacchanalian figure of Time astride a cask. A bust portrait of Anacreon holding pen and paper is on the wall *BRACKETED* ." - -British Museum online catalogue.	Eight elderly topers with pipes and glasses surround a small oblong table, on which are punch-bowl, wine-glasses, tobacco, &c. All are much caricatured; some sing, a parson sleeps, a dog howls. The room is lit by a chandelier; a bracket-clock points to 3.40, on it is carved a Bacchanalian figure of Time astride a cask. A bust portrait of Anacreon holding pen and paper is on the wall *BRACKETED* . Above the design: *TRANSCRIBED* .
0.52	98	False	A country man holding a heavy walking stick stares wide-eyed at a conjuror performing card tricks.	No.17: a corpulent man holding a walking stick with hooked handle, and with his hair in a long pig-tail.
0.9	2047	True	"The interior of a carcass-butcher's slaughter-house, the carcasses of animals suspended from the wall. Through the doorway *BRACKETED* is seen a rock rising from the sea on which stands a bellowing bull; at the base of the rock is a British fleet. Napoleon, the butcher, with cleaver and knife, makes frantic efforts to reach the *BRACKETED* bull, but is restrained by Talleyrand who holds him round the waist. He wears top-boots, one inscribed *TRANSCRIBED* , with apron, and rolled-up shirt-sleeves, showing *TRANSCRIBED* *BRACKETED* branded on his left. arm. On one flap of Talleyrand's oddly shaped cocked hat is a cross, to indicate the ci-devant Bishop of Autun. The head of the Russian bear looks in at the door, gazing menacingly at Napoleon. In the foreground lies a bulky body from which head, hands, and feet have been chopped; to it is skewered a paper: *TRANSCRIBED* ; the severed r. hand lies on a paper inscribed *TRANSCRIBED* . On the extreme left. is a round wicker cage surmounted by the Papal tiara, inscribed: *TRANSCRIBED* ; it contains a fox and other small animals. On the extreme right. is a dog-kennel inscribed *TRANSCRIBED* and *TRANSCRIBED* ; from it a lean greyhound on a short chain puts out its head to lap greedily at a trough of *TRANSCRIBED* . Behind this is the butcher's block, on which lies a cleaver; blood drips from it into a receptacle inscribed *TRANSCRIBED* . Behind Napoleon, in a trough inscribed *TRANSCRIBED* , are the bodies of six turbaned Moslems; blood gushes from the trough into a tank inscribed *TRANSCRIBED* . On the wall hang carcasses, &c. *BRACKETED* : a ram ticketed *TRANSCRIBED* ; a bleeding calf's head, a simian creature with a tail labelled *TRANSCRIBED* ; an ass, ticketed *TRANSCRIBED* , a bloated pig *TRANSCRIBED* . Below the title: *TRANSCRIBED* The verses are a dialogue between *TRANSCRIBED* on the possibilities of plunder and conquest. Talleyrand restrains Bonaparte from a mad rush at the bull, regardless of the intervening water. ..." - -British Museum online catalogue.	Heading to a broadside of twenty-nine verses printed in three columns, with the *BRACKETED* title given above. The interior of a carcass-butcher's slaughter-house, the carcasses of animals suspended from the wall. Through the doorway *BRACKETED* is seen a rock rising from the sea on which stands a bellowing bull; at the base of the rock is a British fleet. Napoleon, the butcher, with cleaver and knife, makes frantic efforts to reach the *BRACKETED* bull, but is restrained by Talleyrand who holds him round the waist. He wears top-boots, one inscribed *TRANSCRIBED* , with apron, and rolled-up shirt-sleeves, showing *TRANSCRIBED* *BRACKETED* branded on his left. arm. On one flap of Talleyrand's oddly shaped cocked hat is a cross, to indicate the ci-devant Bishop of Autun. The head of the Russian bear looks in at the door, gazing menacingly at Napoleon. In the foreground lies a bulky body from which head, hands, and feet have been chopped; to it is skewered a paper: *TRANSCRIBED* ; the severed r. hand lies on a paper inscribed *TRANSCRIBED* . On the extreme left. is a round wicker cage surmounted by the Papal tiara, inscribed: *TRANSCRIBED* ; it contains a fox and other small animals. On the extreme right. is a dog-kennel inscribed *TRANSCRIBED* and *TRANSCRIBED* ; from it a lean greyhound on a short chain puts out its head to lap greedily at a trough of *TRANSCRIBED* . Behind this is the butcher's block, on which lies a cleaver; blood drips from it into a receptacle inscribed *TRANSCRIBED* . Behind Napoleon, in a trough inscribed *TRANSCRIBED* , are the bodies of six turbaned Moslems; blood gushes from the trough into a tank inscribed *TRANSCRIBED* . On the wall hang carcasses, &c. *BRACKETED* : a ram ticketed *TRANSCRIBED* ; a bleeding calf's head, a simian creature with a tail labelled *TRANSCRIBED* ; an ass, ticketed *TRANSCRIBED* , a bloated pig *TRANSCRIBED* . Below the title: *TRANSCRIBED* The verses are a dialogue between *TRANSCRIBED* on the possibilities of plunder and conquest. Talleyrand restrains Bonaparte from a mad rush at the bull, regardless of the intervening water. The 3rd, 4th, 5th, 26th, and 27th of 29 verses: *TRANSCRIBED* Talley smil'd - *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* ambassadors <<CLOSE faces. <<CLOSE Seeing raw-head and bloody-bones wondrous irate, Talley turn'd o'er the leaf with his finger; *TRANSCRIBED* in a tiff Cries Boney, *TRANSCRIBED* .
0.98	1591	True	"Napoleon, riding on an ass, with Marie Louise seated behind him, approaches the coast, with the *TRANSCRIBED* on the horizon *BRACKETED* . Just in front of him the King of Rome rides a mastiff inscribed *TRANSCRIBED* ; the child points with a switch at the island, and looks round at his father registering furious anger. Napoleon stares in agonized dismay, his hands raised in astonished protest. He wears a peaked cap inscribed *TRANSCRIBED* ; the coat of his accustomed uniform, breeches unbuttoned at the knee, and wrinkled stocking showing bare leg. In front of him hangs a small sack: *TRANSCRIBED* . Marie Louise *BRACKETED* is a dishevelled termagant, her left hand resting heavily on Napoleon's shoulder. She turns to thrash the donkey, her open mouth indicating an angry scream; she raises a bludgeon inscribed *TRANSCRIBED* *BRACKETED* . The boy wears a single garment over bare legs; a tight childish cap is tied to his head; from his waist hangs a dagger. The dog bays at the sight of the sea. Behind the ass walks an elderly and old-fashioned French post-boy, with heavy boots and whip and wearing a cocked hat. He clenches a fist, and extends a leg as if kicking, and screams: *TRANSCRIBED* Beside the ass's head is the upright of a gibbet-shaped sign-post inscribed *TRANSCRIBED* ; from this hangs a noose. Two carrion birds fly past it towards Napoleon, one holding in its beak a paper: *TRANSCRIBED* Over Elba is the customary flight of *BRACKETED* birds. Against the shore lie two small boats, one has a mast; in the other sits a man." - -British Museum online catalogue.	Napoleon, riding on an ass, with Marie Louise seated behind him, approaches the coast, with the *TRANSCRIBED* on the horizon *BRACKETED* . Just in front of him the King of Rome rides a mastiff inscribed *TRANSCRIBED* ; the child points with a switch at the island, and looks round at his father registering furious anger. Napoleon stares in agonized dismay, his hands raised in astonished protest. He wears a peaked cap inscribed *TRANSCRIBED* ; the coat of his accustomed uniform, breeches unbuttoned at the knee, and wrinkled stocking showing bare leg. In front of him hangs a small sack: *TRANSCRIBED* . Marie Louise *BRACKETED* is a dishevelled termagant, her left hand resting heavily on Napoleon's shoulder. She turns to thrash the donkey, her open mouth indicating an angry scream; she raises a bludgeon inscribed *TRANSCRIBED* *BRACKETED* . The boy wears a single garment over bare legs; a tight childish cap is tied to his head; from his waist hangs a dagger. The dog bays at the sight of the sea. Behind the ass walks an elderly and old-fashioned French post-boy, with heavy boots and whip and wearing a cocked hat. He clenches a fist, and extends a leg as if kicking, and screams: *TRANSCRIBED* Beside the ass's head is the upright of a gibbet-shaped sign-post inscribed *TRANSCRIBED* ; from this hangs a noose. Two carrion birds fly past it towards Napoleon, one holding in its beak a paper: *TRANSCRIBED* Over Elba is the customary flight of *BRACKETED* birds. Against the shore lie two small boats, one has a mast; in the other sits a man. Plate numbered 323. 12 April 1814.
0.94	602	False	"Boswell stands on the stony shore of a loch; on the right is a small stone hut; in the background are rocky mountains. He stands with legs astride, holding out a roll of paper inscribed *TRANSCRIBED* ; his left hand is on his hip, and tied to his arm in the guise of a shield or target is a large bundle of manuscripts: *TRANSCRIBED* He is dressed as in BMSat 7031 with the addition of a tartan plaid; a feather takes the place of the bells in his cap. From his pocket protrudes *TRANSCRIBED* *BRACKETED* . His plaid and wig are blown by the wind and he glares defiantly to the right ... *TRANSCRIBED*	Boswell stands on the stony shore of a loch; on the right is a small stone hut; in the background are rocky mountains. He stands with legs astride, holding out a roll of paper inscribed *TRANSCRIBED* ; his left hand is on his hip, and tied to his arm in the guise of a shield or target is a large bundle of manuscripts: *TRANSCRIBED* He is dressed as in BMSat 7031 with the addition of a tartan plaid; a feather takes the place of the bells in his cap. From his pocket protrudes *TRANSCRIBED* *BRACKETED* . His plaid and wig are blown by the wind and he glares defiantly to the right. Beneath the title is engraved: *TRANSCRIBED* - -----P. 11 <<CLOSE . *TRANSCRIBED*
0.96	1472	True	"A pretty young woman and a fashionably dressed man sing together seated on upright chairs. She *BRACKETED* plays the harp, her head thrown back to look over her shoulder at the music-book which he holds open: *TRANSCRIBED* . On a round table which supports his elbow as he leans towards her is an open book: *TRANSCRIBED* *BRACKETED* . She wears clinging draperies. Two cats gambol amorously on music-books on the ground. The elaborate décor of the room stresses the subject of the design. A large wall mirror *BRACKETED* hangs above a marble console which is supported on winged heads; a butterfly flies towards its own reflection. Chinese vases containing roses *BRACKETED* flank a bowl in which gold-fish swim to meet each other. One vase only is fully visible; it is a scene of courtship. Below the console a heart-shaped vase, decorated with a Sphinx, stands on the floor. An oval picture elaborately framed hangs above the heads of the lovers: a Cupid fires a blunderbuss at two doves billing on a dove-cot. This is flanked by carvings of flowers with *BRACKETED* crossed torches *BRACKETED* and *BRACKETED* the bow and arrows of Cupid. In the foreground *BRACKETED* is one corner of a console table supported by a grinning satyr with a cloven hoof; on it is a myrtle plant in an ornamental pot. The luxury of the room is shown by an arcaded wall with pilaster reflected in the mirror, and by a palm-tree pilaster *BRACKETED* ." - -British Museum online catalogue.	A companion pl. to BMSat 10473, with the same signature and imprint. A pretty young woman and a fashionably dressed man sing together seated on upright chairs. She *BRACKETED* plays the harp, her head thrown back to look over her shoulder at the music-book which he holds open: *TRANSCRIBED* . On a round table which supports his elbow as he leans towards her is an open book: *TRANSCRIBED* *BRACKETED* . She wears clinging draperies. Two cats gambol amorously on music-books on the ground. The elaborate décor of the room stresses the subject of the design. A large wall mirror *BRACKETED* hangs above a marble console which is supported on winged heads; a butterfly flies towards its own reflection. Chinese vases containing roses *BRACKETED* flank a bowl in which gold-fish swim to meet each other. One vase only is fully visible; it is a scene of courtship. Below the console a heart-shaped vase, decorated with a Sphinx, stands on the floor. An oval picture elaborately framed hangs above the heads of the lovers: a Cupid fires a blunderbuss at two doves billing on a dove-cot. This is flanked by carvings of flowers with *BRACKETED* crossed torches *BRACKETED* and *BRACKETED* the bow and arrows of Cupid. In the foreground *BRACKETED* is one corner of a console table supported by a grinning satyr with a cloven hoof; on it is a myrtle plant in an ornamental pot. The luxury of the room is shown by an arcaded wall with pilaster reflected in the mirror, and by a palm-tree pilaster *BRACKETED* .
0.97	697	True	"John Bull, grotesquely stout, is pressed downwards by a large rolled document which rests on his head inscribed *TRANSCRIBED* . This roll is pressed down by three persons who rest their hands on it, their legs in the air, as if jumping to increase the pressure which has already so much compressed John Bull, concertina-fashion, that his arms reach the ground, and his contour is quasi-rectangular. The central figure is Pitt, saying, *TRANSCRIBED* . The other two are probably Rose and Steele, the Treasury Secretaries. The words *TRANSCRIBED* and *TRANSCRIBED* are inscribed on John Bull's shoulders, *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* on his body." - -British Museum online catalogue.	John Bull, grotesquely stout, is pressed downwards by a large rolled document which rests on his head inscribed *TRANSCRIBED* . This roll is pressed down by three persons who rest their hands on it, their legs in the air, as if jumping to increase the pressure which has already so much compressed John Bull, concertina-fashion, that his arms reach the ground, and his contour is quasi-rectangular. The central figure is Pitt, saying, *TRANSCRIBED* . The other two are probably Rose and Steele, the Treasury Secretaries. The words *TRANSCRIBED* and *TRANSCRIBED* are inscribed on John Bull's shoulders, *TRANSCRIBED* and *TRANSCRIBED* *BRACKETED* on his body.
0.89	710	True	"Burke stands full face, frowning; his right arm rests along a high pedestal inscribed *TRANSCRIBED* which supports a bust of George III. In his right hand is a book: *TRANSCRIBED* . His left arm hangs by his side, in his left hand are the staff and cap of *TRANSCRIBED* . The right half of his dress is whole, the coat gold-laced, the pockets brimming over with coins. The left half is ragged, his empty pocket hangs inside out. The head of the King, in profile to the right, wears an arrogant frown. In the background is a mountain, evidently Parnassus, crowned with a windmill) on one sail of which Fame is precariously poised. Trees and foliage complete the background." - -British Museum online catalogue.	Burke stands full face, frowning; his right arm rests along a high pedestal inscribed *TRANSCRIBED* which supports a bust of George III. In his right hand is a book: *TRANSCRIBED* . His left arm hangs by his side, in his left hand are the staff and cap of *TRANSCRIBED* . The right half of his dress is whole, the coat gold-laced, the pockets brimming over with coins. The left half is ragged, his empty pocket hangs inside out. The head of the King, in profile to the right, wears an arrogant frown. In the background is a mountain, evidently Parnassus, crowned with a windmill) on one sail of which Fame is precariously poised. Trees and foliage complete the background. Beneath the title is etched: *TRANSCRIBED* Burkes Reflections, p 354 <<CLOSE *BRACKETED* from the last paragraph of the *TRANSCRIBED* .
0.79	1059	True	The English sportsman sits in a chair with his feet supported on a stool, gun in hand. He wears a hat with an enormous brim. A negro servant stands behind him *BRACKETED* holding up an umbrella and a branch to beat off flies. A negro boy approaches his master, who grins delightedly, with a huge goblet on a salver. Below the design: *TRANSCRIBED* . Under a palm-tree *BRACKETED* is a table covered with food: a shoulder of mutton *BRACKETED* , fish, a sucking-pig, a round of bee *BRACKETED* . On the ground are many bottles, some on their sides, a basket of pineapples and limes *BRACKETED* , and a row of large jars: *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* ; also a much smaller jar of *TRANSCRIBED* *BRACKETED* , and a number of empty bottles. In the middle distance a negro runs, driving birds towards the sportsman. Near him in the middle distance, a second sportsman reclines on a settee; a negress holds an umbrella over his head. The scene is a flat sunny plain, with distant hills. From British Museum online catalogue.	The sportsman sits in a chair with his feet supported on a stool, gun in hand. He wears a hat with an enormous brim. A negro servant stands behind him *BRACKETED* holding up an umbrella, and a branch to beat off flies. A negro boy approaches his master, who grins delightedly, with a huge goblet *BRACKETED* on a salver. Below the design: *TRANSCRIBED* . Under a palm-tree *BRACKETED* is a table covered with food: a *BRACKETED* shoulder of mutton, fish, a sucking-pig, a *BRACKETED* round of beef. On the ground are many bottles, some on their sides, a basket of pineapples, and *BRACKETED* limes, and a row of large jars: *TRANSCRIBED* , *TRANSCRIBED* *BRACKETED* , *TRANSCRIBED* *BRACKETED* ; also a much smaller jar of *TRANSCRIBED* *BRACKETED* , and a number of empty bottles. In the middle distance a negro runs, driving birds towards the sportsman. Near him a second sportsman reclines on a settee; a negress holds an umbrella over his head. The scene is a flat sunny plain, with distant hills.
0.91	358	True	"Portrait of a man whole length standing in profile to right. He has a bulbous nose, a stubbly chin, a protruding waistcoat. In his right hand is a tankard with an open lid, in his left a whip with a long lash. He wears a low wide three-cornered hat, a plain neckcloth, coat, long waistcoat, knee-breeches, buckled shoes." - -British Museum online catalogue.	No.17: Portrait of a man standing in profile to right. He has a bulbous nose, a stubbly chin, a protruding waistcoat. In his right hand is a tankard with an open lid, in his left a whip with a long lash. He wears a low wide three-cornered hat, a plain neckcloth, coat, long waistcoat, knee-breeches, buckled shoes.
0.97	780	True	"The interior of an apothecary's room: jars on shelves; a counter with drawers, pestle and mortar, flasks, &c. A bust of Galen stands on the lintel of the door *BRACKETED* . An alarmed undergraduate in cap and gown stands clasping his stomach. The doctor faces him triumphantly, with raised arms and holding a pill-box. His man, who wears an apron, walks off with a large box inscribed *TRANSCRIBED* . The *BRACKETED* inscription below the title relates that a *TRANSCRIBED* called on a *TRANSCRIBED* and asked to be cured of a bad memory, and a habit of lying. He is cured by the *TRANSCRIBED* The youth complains that he is poisoned with Asafœtida, the doctor answers that he speaks the truth and will never forget the medicine, so is cured." - -British Museum online catalogue.	The interior of an apothecary's room: jars on shelves; a counter with drawers, pestle and mortar, &c. A bust of Galen stands on the lintel of the door *BRACKETED* . An alarmed undergraduate in cap and gown stands clasping his stomach. The doctor faces him triumphantly, with raised arms and holding a pill-box. His man, who wears an apron, walks off with a large box inscribed *TRANSCRIBED* . The *BRACKETED* inscription below the title relates that a *TRANSCRIBED* called on a *TRANSCRIBED* and asked to be cured of a bad memory, and a habit of lying. He is cured by the *TRANSCRIBED* The youth complains that he is poisoned with Asafœtida, the doctor answers that he speaks the truth and will never forget the medicine, so is cured.
0.81	255	False	Design in an oval. A head with lank, unkempt hair and melancholy, twisted features, mouthing grotesquely, appears to emerge from a tub; this is a section of a tub held by the performer on a table. Reference to G.A. Stevens's Lecture on Heads *BRACKETED* .	A companion print to BMSat 8380. Design in an oval. A head with lank, unkempt hair and melancholy, twisted features, mouthing grotesquely, appears to emerge from a tub; this is a section of a tub held by the performer on a table.
0.99	1890	True	"An evening scene in Vauxhall Gardens. On the extreme left is the orchestra with the organ behind and performers on the kettledrums, string and wind instruments. The vocalist, Mrs. Weichsel, sings, in profile to the right, from the adjacent *BRACKETED* balcony, just above the heads of the crowd. A violinist and another musician are seated behind her. In the supper box beneath the orchestra is Dr. Johnson seated full-face, between Boswell and Goldsmith *BRACKETED* , who face each other in profile, both caricatured; of two stout women one is reputed to be Mrs. Thrale. Many groups fill the foreground and middle distance. The two centre figures are the Duchess of Devonshire and Lady Duncannon arm in arm. A naval officer with a wooden leg and a patch over one eye is reputed to be Admiral Paisley *BRACKETED* . Major Topham, an excellent portrait, stands *BRACKETED* in profile to the right staring through an eyeglass. Between Topham and the supper-box are two men, one of whom is identified as Lord Camelford. *BRACKETED* An elderly parson, *BRACKETED* reputed to be Bate Dudley but not resembling him, gazes at the Duchess from behind a tree. Next him a man dressed as an officer in a Highland regiment with kilt and broadsword is supposed to be James Perry, editor of the *TRANSCRIBED* . On the right the Prince of Wales, conspicuous by his star, whispers to Mrs. Robinson *BRACKETED* , though their liaison was ended. Her right arm is linked with an ugly and elderly little man, probably Robinson. On the extreme left an elderly couple advance arm in arm in profile. Behind the Prince is a group standing on a small platform *BRACKETED* , showing half length above the crowd. In the foreground *BRACKETED* is a supper-table under trees where two cits entertain two courtesans. Lamp-lit trees and the covered way form a background on the right." - -British Museum online catalogue.	An evening scene in Vauxhall Gardens. On the extreme left is the orchestra with the organ behind and performers on the kettledrums, string and wind instruments. The vocalist, Mrs. Weichsel, sings, in profile to the right, from the adjacent *BRACKETED* balcony, just above the heads of the crowd. A violinist and another musician are seated behind her. In the supper box beneath the orchestra is Dr. Johnson seated full-face, between Boswell and Goldsmith *BRACKETED* , who face each other in profile, both caricatured; of two stout women one is reputed to be Mrs. Thrale. Many groups fill the foreground and middle distance. The two centre figures are the Duchess of Devonshire and Lady Duncannon arm in arm. A naval officer with a wooden leg and a patch over one eye is reputed to be Admiral Paisley *BRACKETED* . Major Topham, an excellent portrait, stands *BRACKETED* in profile to the right staring through an eyeglass. Between Topham and the supper-box are two men, one of whom is identified as Lord Camelford. *BRACKETED* An elderly parson, *BRACKETED* reputed to be Bate Dudley but not resembling him, gazes at the Duchess from behind a tree. Next him a man dressed as an officer in a Highland regiment with kilt and broadsword is supposed to be James Perry, editor of the *TRANSCRIBED* . On the right the Prince of Wales, conspicuous by his star, whispers to Mrs. Robinson *BRACKETED* , though their liaison was ended. Her right arm is linked with an ugly and elderly little man, probably Robinson. On the extreme left an elderly couple advance arm in arm in profile. Behind the Prince is a group standing on a small platform *BRACKETED* , showing half length above the crowd. In the foreground *BRACKETED* is a supper-table under trees where two cits entertain two courtesans. Lamp-lit trees and the covered way form a background on the right.
0.89	927	False	"Six men, seated and standing behind a table on which are decanters, punch-bowl, &c, drink a treasonous toast. This is given by Priestley *BRACKETED* who stands in profile to the right, holding up an empty Communion dish and a brimming chalice, saying, *TRANSCRIBED* Fox sits in the centre, raising his glass, his right hand on his heart; he looks up ecstatically, saying, *TRANSCRIBED* On his right. sits Sir Cecil Wray, saying, *TRANSCRIBED* On the extreme left Sheridan bends forward, avidly filling his glass from a decanter of Sherry; he says, *TRANSCRIBED* On Fox's left sits Horne Tooke, saying, *TRANSCRIBED* *BRACKETED* He grasps a decanter of *TRANSCRIBED* Before him are two decanters of *TRANSCRIBED* . Behind Horne Tooke and Lindsey stands a group of sanctimonious dissenters, with lank hair, much caricatured; three say respectively: *TRANSCRIBED* ; *TRANSCRIBED* . and *TRANSCRIBED* " --British Museum catalogue.	Six men, seated and standing behind a table on which are decanters, punch-bowl, &c, drink a treasonous toast. This is given by Priestley *BRACKETED* who stands in profile to the right, holding up an empty Communion dish and a brimming chalice, saying, *TRANSCRIBED* Fox sits in the centre, raising his glass, his right hand on his heart; he looks up ecstatically, saying, *TRANSCRIBED* On his right. sits Sir Cecil Wray, saying, *TRANSCRIBED* *BRACKETED* . On the extreme left Sheridan bends forward, avidly filling his glass from a decanter of Sherry; he says, *TRANSCRIBED* On Fox's left sits Horne Tooke, saying, *TRANSCRIBED* *BRACKETED* He grasps a decanter of *TRANSCRIBED* Before him are two decanters of *TRANSCRIBED* . Behind Horne Tooke and Lindsey stands a group of sanctimonious dissenters, with lank hair, much caricatured; three say respectively: *TRANSCRIBED* ; *TRANSCRIBED* . and *TRANSCRIBED* . On the wall above Foxs head is a picture of St. Paul's Cathedral; from the façade emerge the heads of three pigs feeding from a trough. This is *TRANSCRIBED* *BRACKETED* .
0.6	745	True	"A burlesque of Fuseli's well-known picture illustrating *TRANSCRIBED* , i. 3. The three witches are Dundas, Pitt, and Thurlow, in profile to the right instead of to the left. Fuseli's drapery is replaced by clouds, and the three gaze with reflective and apprehensive intensity at the moon *BRACKETED* : the Queen's smiling profile in a brightly lit crescent faces them, enclosing the old moon, the darkened head of the King *BRACKETED* , with closed eyes in profile to the right. Each witch presses the fingers of his left hand *BRACKETED* to his lips *BRACKETED* ; the outstretched left arm of Fuseli's picture is absent: they appear to be seeking knowledge of the future from the moon, not foretelling it." - -British Museum online catalogue.	A burlesque of Fuseli's well-known picture illustrating *TRANSCRIBED* , i. 3. The three witches are Dundas, Pitt, and Thurlow, in profile to the right instead of to the left. Fuseli's drapery is replaced by clouds, and the three gaze with reflective and apprehensive intensity at the moon *BRACKETED* : the Queen's smiling profile in a brightly lit crescent faces them, enclosing the old moon, the darkened head of the King, with closed eyes in profile to the right. Each witch presses the fingers of his left hand *BRACKETED* to his lips *BRACKETED* ; the outstretched left arm of Fuseli's picture is absent: they appear to be seeking knowledge of the future from the moon, not foretelling it. Beneath the title is inscribed: *TRANSCRIBED* Above the design: *TRANSCRIBED* .
0.95	440	True	"A fashionably dressed man and woman *BRACKETED* face each other in profile. The outline of the man's projecting shirt-frill resembles that of projecting gauze which covers the lady's bust, see BMSats 7021, 7099, &c. In the space between them two pouter-pigeons stand facing each other. On the man's coat are large buttons inscribed respectively *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* ." - -British Museum online catalogue.	A fashionably dressed man and woman *BRACKETED* face each other in profile. The outline of the man's projecting shirt-frill resembles that of projecting gauze which covers the lady's bust, see BMSats 7021, 7099, &c. In the space between them two pouter-pigeons stand facing each other. On the man's coat are large buttons inscribed respectively *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* *TRANSCRIBED* .
0.97	753	True	"The Duke of York lies on the ground, between two lawyers *BRACKETED* and Adam), all prone but supported on their elbows; their heads and those of two other persons dimly seen behind them support a massive pyramid of rectangular blocks of stone on the top of which Mrs. Clarke stands in triumph, pointing to the sky. The three *TRANSCRIBED* clasp their hands and register acute distress. The lowest and largest block is Evidence of Mrs Clarke., the others are Miss Taylors Evidence *BRACKETED* , Shy Hits from Sandon and Clavering *BRACKETED* , Home Strokes from Dowler *BRACKETED* , Mrs Hovendons Evidence, Mrs Favery *BRACKETED* , Doctor OMeiry *BRACKETED* , Carter & *BRACKETED* . There is a background of clouds." - -British Museum online catalogue.	The Duke of York lies on the ground, between two lawyers *BRACKETED* and Adam), all prone but supported on their elbows; their heads and those of two other persons dimly seen behind them support a massive pyramid of rectangular blocks of stone on the top of which Mrs. Clarke stands in triumph, pointing to the sky. The three *TRANSCRIBED* clasp their hands and register acute distress. The lowest and largest block is Evidence of Mrs Clarke., the others are Miss Taylors Evidence *BRACKETED* , Shy Hits from Sandon and Clavering *BRACKETED* , Home Strokes from Dowler *BRACKETED* , Mrs Hovendons Evidence, Mrs Favery *BRACKETED* , Doctor OMeiry *BRACKETED* , Carter & *BRACKETED* . There is a background of clouds. 11 April 1809.
0.88	315	True	"An unshaven man, wearing only nightcap, shirt, breeches, and slippers, stands by the fireside grimacing with disgust, a medicine-bottle in one hand, full cup in the other. A dying fire, bare boards, and medicine-bottles on the chimney-piece add to the impression of discomfort." - -British Museum online catalogue.	An unshaven man, wearing only nightcap, shirt, breeches, and slippers, stands by the fireside grimacing with disgust, a medicine-bottle in one hand, full cup in the other. A dying fire, bare boards, and medicine-bottles on the chimney-piece add to the impression of discomfort. 6 February 1800 Hand-coloured etching.
